page_title	selected	notes
2006_in_Iran	Kashan_granary_Barry_Kent.JPG	image was found in the Commons category linked in the Wikidata item
Diospolis	Ägypten_Tempel_von_Karnak01.jpg	image was found in the same article for the following wikis: itwiki
Code_Parish	Derpeles_manor_-_ainars_brūvelis_-_Panoramio.jpg	image was found in the Commons category linked in the Wikidata item
Church_order	Sofia_kyrka.JPG	image was found in the same article for the following wikis: idwiki
Nicolò_Barattieri	Venezia_colonne.jpg	image was found in the same article for the following wikis: itwiki
Giovanni_Domenico_Maraldi	Giovanni Domenico Maraldi.jpg	image was in the Wikidata item
Vipos_tuco-tuco	Picto_infobox_reptile.png	image was found in the same article for the following wikis: kowiki
Distension	ADBG_1300263.JPG	image was found in the same article for the following wikis: cswiki
Barneveld	Barneveld,_de_Oude_Kerk_RM8614_foto7_2012-03-11_13.54.jpg	image was found in the same article for the following wikis: swwiki
German_Mäurer	German Mäurer.jpg	image was in the Wikidata item
Pauline_Soullard	Pauline Soullard.jpg	image was in the Wikidata item
Redi-Cereșnovăț	Гора_(холм)_Реди,_высота_350_м_над_уровнем_моря,_вид_на_нее_с_удаления_12_км._-_panoramio.jpg	image was found in the same article for the following wikis: rowiki
Athletics_at_the_2012_Summer_Paralympics_–_Women's_400_metres	180411_-_Angie_Ballard_-_3b_-_2012_Team_processing.jpg	image was found in the same article for the following wikis: ptwiki
William_Gilbert_(rugby)	Training_session_Stade_francais_2013-04-19_t141007.jpg	image was found in the same article for the following wikis: plwiki
Kuthukalvalasai	Puff-throated_babbler_from_Chamakkavu,_Kannur_DSCN9137.jpg	image was found in the Commons category linked in the Wikidata item
Chanchati	Lanchkhutis_municipaliteti.jpg	image was found in the same article for the following wikis: kawiki
Marta_Bolagh	روستای_مرتع_بلاغ.jpg	image was found in the same article for the following wikis: fawiki
1895_ICA_Track_Cycling_World_Championships	Bahn-Weltmeisterschaften_1895.jpg	image was found in the Commons category linked in the Wikidata item
Acheron_River_(Canterbury)	Acheron_river_in_Molesworth_NZ.jpg	image was found in the same article for the following wikis: dewiki
Michael_Scot	Michael Scot.png	image was in the Wikidata item
Robert_Leckie_(footballer)	QueensParkFC1874.jpg	image was in the Wikidata item
2004_Internationaux_de_Strasbourg	Claudine_Schaul_2.jpg	image was found in the same article for the following wikis: nlwiki
Jean-Gilles_du_Coëtlosquet	Jean Gilles du Coëtlosquet (1700-1784).jpg	image was in the Wikidata item
List_of_Malagasy_writers	Jean-Joseph_Rabearivelo.jpg	image was found in the same article for the following wikis: frwiki
Jean-Pierre_Sueur	Jean Pierre Sueur Orléans.jpg	image was in the Wikidata item
Raymond_J._Barry	Raymond J. Barry by Nathan Morgan.jpg	image was in the Wikidata item
Emilio_Notte	Villa_d'Este_interior_9.jpg	image was found in the Commons category linked in the Wikidata item
A_Rose_for_Emily	William_Faulkner_1954_(2)_(photo_by_Carl_van_Vechten).jpg	image was found in the same article for the following wikis: dewiki
Makounta	PaphosDistrictMakounta.png	image was found in the Commons category linked in the Wikidata item
List_of_Sri_Lankan_films_of_the_1940s	Sri_Lanka_film.png	image was found in the same article for the following wikis: siwiki
1952_Uruguayan_Primera_División	Logo_Campeonato_Uruguayo_Primera_División_Profesional.png	image was found in the same article for the following wikis: eswiki
Kaifu_District,_Changsha	长沙滨江文化园处所见的湘江风光 - with Huawei watermark.jpg	image was in the Wikidata item
Notre-Dame_de_l'Assomption_Abbey	Monastère_1920_Rogersville.jpg	image was found in the same article for the following wikis: dewiki
Stictoptera	Stictoptera_sp._-_Doi_Su_thep,_Chiang_Mai_(5942403293).jpg	image was found in the Commons category linked in the Wikidata item
Hawkesbury_Village	Hawkesbury_Lane_station_site_geograph-3623249-by-Ben-Brooksbank.jpg	image was found in the Commons category linked in the Wikidata item
Simon_Kaijser_da_Silva	Simon Kaijser in August 2013.jpg	image was in the Wikidata item
Collège_La_Mennais	Lycée La Mennais Papeete.JPG	image was in the Wikidata item
Moutiers-sous-Chantemerle	Map_commune_FR_insee_code_79188.png	image was found in the Commons category linked in the Wikidata item
1907_UCI_Track_Cycling_World_Championships	Btv1b84333671-p027.jpg	image was found in the Commons category linked in the Wikidata item
130_BC	All_Gizah_Pyramids.jpg	image was found in the same article for the following wikis: dewiki,barwiki
Hişgədərə,_Masally	Azerbaijan,_administrative_divisions.png	image was found in the same article for the following wikis: azwiki
Little_Caesar_(band)	Little_Caesar.jpg	image was found in the same article for the following wikis: dewiki
Nyírcsászári	Nyircsaszari_rovastabla.png	image was found in the Commons category linked in the Wikidata item
Bolivian_Football_Regional_Leagues	Bolivia_departments_named.png	image was found in the same article for the following wikis: itwiki
List_of_mayors_of_Dakar	Hotel_de_Ville_Dakar.JPG	image was found in the same article for the following wikis: frwiki
2013_Australian_Open_–_Men's_Doubles	Paes_and_Stepanek.jpg	image was found in the same article for the following wikis: nlwiki
1967–68_DFB-Pokal	DFB_Pokal.jpg	image was found in the same article for the following wikis: ukwiki
Yarabamba_District	Thumb_410_DSC05434mirador.jpg	image was found in the same article for the following wikis: aywiki,eswiki
Albert_Polman	100430_AMOLF.jpg	image was found in the same article for the following wikis: nlwiki
Giacomo_Gagini	Scultura ritratto Giacomo Gagini.JPG	image was in the Wikidata item
Impedance_of_free_space	Electromagneticwave3Dfromside.gif	image was found in the same article for the following wikis: cawiki
1950_in_Mexico	012766-025_CALZADA_DE_LA_VILLA_DE_GUADALUPE_TERMINADA_Y_LIMPIA_MARZO_15_1950_(27120250869).jpg	image was found in the Commons category linked in the Wikidata item
